,RA,DEC,PMRA,PMDEC,FLUX_B,FLUX_V,FLUX_J,FLUX_H,FLUX_K
HD35286,05 22 35.2575,-25 54 30.845,0.26,-8.381,9.64,9.58,9.487,9.519,9.482999999999999
HD39857,05 54 11.2967,-25 54 44.717,-1.706,3.907,9.52,9.45,9.509,9.537,9.507
HIP67143,13 45 36.8915,-26 06 57.635,-71.667,-10.275,5.814,5.795,5.744,5.744,5.711
HIP36837,07 34 28.8413,-26 07 00.668,-19.31,-29.413,6.64,6.65,6.625,6.682,6.655
HD67731,08 08 23.6819,-26 08 53.231,-16.235,25.162,9.37,9.33,9.046,9.044,9.024
HD48206,06 41 07.9300,-26 08 54.967,-4.246,4.244,9.29,9.23,9.138,9.145,9.097000000000001
HD90738,10 28 11.6238,-26 11 20.594,1.5090000000000001,-7.251,10.42,10.39,10.125,10.115,10.085
HD47921,06 39 51.3835,-26 11 27.185,-6.925,3.1910000000000003,9.47,9.4,9.296,9.281,9.261000000000001
HD98201,11 17 37.6980,-26 11 29.317,-13.770999999999999,-3.562,9.55,9.51,9.421,9.395,9.367
HIP42334,08 37 52.1521,-26 15 17.997,-23.320999999999998,-12.579,5.23,5.27,5.284,5.35,5.321000000000001
HD38428,05 44 36.7266,-26 15 45.089,9.422,7.445,9.69,9.65,9.597000000000001,9.59,9.578
HD131885,14 56 57.4546,-26 17 06.095,-20.741,-26.22,6.91,6.9,6.779,6.794,6.749
HD71213,08 25 12.2668,-26 17 55.289,-5.981,4.122,9.18,9.15,9.014,9.066,9.027000000000001
HIP48293,09 50 46.8156,-26 20 00.450,-12.255999999999998,-0.258,8.94,8.92,8.897,8.981,8.912
HD61651,07 39 19.0744,-26 25 27.943,-0.85,-4.529,9.3,9.25,9.087,9.093,9.073
HIP9285,01 59 19.5830,-26 25 56.035,70.90899999999999,13.248,6.81,6.79,6.739,6.765,6.742999999999999
HD59280,07 28 12.6735,-26 26 18.888,-7.597,0.858,8.43,8.41,8.307,8.339,8.273
HD65943,08 00 20.3037,-26 30 05.032,0.16,-3.431,9.62,9.6,9.541,9.543,9.545
HD66182,08 01 23.3188,-26 36 01.195,-5.5920000000000005,1.9380000000000002,9.55,9.53,9.475,9.527999999999999,9.48
HIP38125,07 48 45.8167,-26 37 07.228,-8.043,8.607999999999999,9.08,9.07,8.995,9.023,9.025
HD66619,08 03 28.6772,-26 39 46.630,-5.377000000000001,3.241,10.1,10.03,9.879,9.849,9.882
CPD-262359,07 39 36.3558,-26 52 19.009,-4.769,1.96,11.42,11.38,11.405999999999999,11.444,11.437999999999999
HD195225,20 30 58.2084,-26 58 32.198,2.8560000000000003,-6.568,9.14,9.08,8.981,9.01,8.957
HD70794,08 23 02.5752,-27 00 54.429,-1.1740000000000002,-2.2159999999999997,8.21,8.16,7.975,8.033999999999999,7.956
HD53732,07 05 00.2789,-27 06 51.063,-8.082,2.862,7.61,7.62,7.645,7.672999999999999,7.622000000000001
HD51987,06 58 24.6479,-27 09 38.517,-15.825,2.035,9.12,9.09,8.967,9.01,8.934
HD70285,08 20 15.7873,-27 11 41.335,-9.051,3.4330000000000003,8.98,8.93,8.697000000000001,8.685,8.674
HD202941,21 19 51.4256,-27 12 32.913,8.418,-1.901,7.05,7.05,7.062,7.099,7.077000000000001
HD55715,07 12 57.5823,-27 12 44.473,-8.995,3.955,9.35,9.32,9.299,9.35,9.283999999999999
HD66697,08 03 49.1534,-27 18 52.760,-7.582999999999999,2.905,9.7,9.65,9.581,9.591000000000001,9.547
HIP36267,07 28 02.6667,-27 21 57.428,-3.8739999999999997,4.377,9.83,9.79,9.596,9.578,9.558
HIP24831,05 19 23.6851,-27 22 07.985,-3.5210000000000004,-8.404,5.942,5.972,5.9879999999999995,6.027,6.024
HD87727,10 06 24.4864,-27 25 19.219,-12.377,2.592,9.68,9.65,9.658,9.689,9.665
HD46038,06 29 50.9825,-27 25 19.403,-5.559,-0.332,8.92,8.87,8.704,8.692,8.693999999999999
HD197437,20 44 37.0871,-27 26 09.218,8.508,0.273,8.65,8.61,8.389,8.398,8.365
